Workbook,Date,0,1,2,3,4,5
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,LIBOR EUR (%năm):,-0.41429,-0.37414,-0.26929,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,Tỷ giá được cập nhật lúc 02/01/2020 05:00 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 02/01/2020 05:00 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 02/01/2020 05:00 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 02/01/2020 05:00 PM và chỉ mang tính chất tham khảo.,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(Nguồn từ Bloomberg),,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,Loại tiền,Tỷ giá mua,Tỷ giá mua,Tỷ giá bán,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,,Tiền mặt/séc,Chuyển khoản,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,"USD, (1,2)",22573,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Đô la Mỹ),22573,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,"USD, (5,10,20)",22673,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Đô la Mỹ),22673,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,"USD,50-100",23093,23113,23233,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Đô la Mỹ),23093,23113,23233,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,JPY,211.21,212.49,218.49,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá đồng Yên Nhật),211.21,212.49,218.49,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,AUD,15648,15889,16391,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Đô Úc),15648,15889,16391,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,CAD,17438,17657,18158,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Đô Canada),17438,17657,18158,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,GBP,29755,30090,30695,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Bảng Anh),29755,30090,30695,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,CHF,23393,23631,24133,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Franc Thụy Sĩ),23393,23631,24133,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,SGD,16851,17019,17420,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Đô Singapore),16851,17019,17420,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,EUR,25372,25679,26379,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Euro),25372,25679,26379,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,CNY,-,3264,3394,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Nhân dân tệ Trung Quốc),-,3264,3394,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,HKD,-,2848,3048,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Đô Hồng Kông),-,2848,3048,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,THB,738,743,883,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá Bat Thái Lan),738,743,883,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,MYR,-,5578,5730,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(tỷ giá tiền Malaysia),-,5578,5730,,
